,Author,Book_Name,Book_Category,Book_url
1688,أحمد مصطفى متولي,كتاب فقه وفتاوى وأحكام سجود السهو PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d9%82%d9%87-%d9%88%d9%81%d8%aa%d8%a7%d9%88%d9%89-%d9%88%d8%a3%d8%ad%d9%83%d8%a7%d9%85-%d8%b3%d8%ac%d9%88%d8%af-%d8%a7%d9%84%d8%b3%d9%87%d9%88-pdf/
1689,أحمد مصطفى متولي,كتاب فقه الجمعة وأحكامها وفتاويها PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d9%82%d9%87-%d8%a7%d9%84%d8%ac%d9%85%d8%b9%d8%a9-%d9%88%d8%a3%d8%ad%d9%83%d8%a7%d9%85%d9%87%d8%a7-%d9%88%d9%81%d8%aa%d8%a7%d9%88%d9%8a%d9%87%d8%a7-pdf/
1690,أحمد مصطفى متولي,كتاب فقه الكسوف والخسوف والاستسقاء PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d9%82%d9%87-%d8%a7%d9%84%d9%83%d8%b3%d9%88%d9%81-%d9%88%d8%a7%d9%84%d8%ae%d8%b3%d9%88%d9%81-%d9%88%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%b3%d9%82%d8%a7%d8%a1-pdf/
1691,أحمد مصطفى متولي,كتاب فتاوى الصيام للأطفال PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d8%aa%d8%a7%d9%88%d9%89-%d8%a7%d9%84%d8%b5%d9%8a%d8%a7%d9%85-%d9%84%d9%84%d8%a3%d8%b7%d9%81%d8%a7%d9%84-pdf/
1692,أحمد مصطفى متولي,كتاب فقه الصلاة وأحكامها وفتاويها PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d9%82%d9%87-%d8%a7%d9%84%d8%b5%d9%84%d8%a7%d8%a9-%d9%88%d8%a3%d8%ad%d9%83%d8%a7%d9%85%d9%87%d8%a7-%d9%88%d9%81%d8%aa%d8%a7%d9%88%d9%8a%d9%87%d8%a7-pdf/
1693,جلال الدين السيوطى,كتاب مقامات السيوطي PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d9%82%d8%a7%d9%85%d8%a7%d8%aa-%d8%a7%d9%84%d8%b3%d9%8a%d9%88%d8%b7%d9%8a-pdf/
1694,جلال الدين السيوطى,كتاب الروض الأنيق في فضل الصديق PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%b1%d9%88%d8%b6-%d8%a7%d9%84%d8%a3%d9%86%d9%8a%d9%82-%d9%81%d9%8a-%d9%81%d8%b6%d9%84-%d8%a7%d9%84%d8%b5%d8%af%d9%8a%d9%82-pdf/
1695,جلال الدين السيوطى,كتاب إعلام الأريب PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a5%d8%b9%d9%84%d8%a7%d9%85-%d8%a7%d9%84%d8%a3%d8%b1%d9%8a%d8%a8-pdf/
1696,روبرت وولكر,كتاب روسو مقدمة قصيرة جدا PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d9%88%d8%b3%d9%88-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1697,جون جراهام هندرسون,كتاب التراث الكلاسيكي PDF,['كتب متنوعة'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b1%d8%a7%d8%ab-%d8%a7%d9%84%d9%83%d9%84%d8%a7%d8%b3%d9%8a%d9%83%d9%8a-pdf/
1698,راسل جيه فوستر,كتاب النوم  مقدمة قصيرة جدا PDF,"['الثقافة العامة', 'الطب']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%86%d9%88%d9%85-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1699,روبرت سكيدلسكي,كتاب جون مينارد كينز PDF,['أعلام وشخصيات'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d9%88%d9%86-%d9%85%d9%8a%d9%86%d8%a7%d8%b1%d8%af-%d9%83%d9%8a%d9%86%d8%b2-pdf/
1700,جون دن,كتاب جون لوك PDF,['أعلام وشخصيات'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ac%d9%88%d9%86-%d9%84%d9%88%d9%83-pdf/
1701,الكاتب على أحمد باكثير,كتاب الدودة والثعبان PDF,"['كتب الأدب العربي', 'كتب روايات عربية']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%af%d9%88%d8%af%d8%a9-%d9%88%d8%a7%d9%84%d8%ab%d8%b9%d8%a8%d8%a7%d9%86-pdf/
1702,الكاتب على أحمد باكثير,كتاب مأساة زينب PDF,"['كتب الأدب العربي', 'كتب روايات عربية']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%a3%d8%b3%d8%a7%d8%a9-%d8%b2%d9%8a%d9%86%d8%a8-pdf/
1703,الكاتب على أحمد باكثير,كتاب الفارس الجميل PDF,"['كتب الأدب العربي', 'كتب روايات عربية']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%81%d8%a7%d8%b1%d8%b3-%d8%a7%d9%84%d8%ac%d9%85%d9%8a%d9%84-pdf/
1704,الكاتب على أحمد باكثير,كتاب إمبراطورية في المزاد PDF,"['كتب الأدب العربي', 'كتب روايات عربية']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a5%d9%85%d8%a8%d8%b1%d8%a7%d8%b7%d9%88%d8%b1%d9%8a%d8%a9-%d9%81%d9%8a-%d8%a7%d9%84%d9%85%d8%b2%d8%a7%d8%af-pdf/
1705,الكاتب على أحمد باكثير,كتاب قصر الهودج PDF,"['كتب الأدب العربي', 'كتب روايات عربية']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%82%d8%b5%d8%b1-%d8%a7%d9%84%d9%87%d9%88%d8%af%d8%ac-pdf/
1706,ويليام دويل,كتاب الارستقراطية مقدمة قصيرة جدا PDF,['كتب متنوعة'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%a7%d8%b1%d8%b3%d8%aa%d9%82%d8%b1%d8%a7%d8%b7%d9%8a%d8%a9-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1707,كين بينمور,كتاب نظرية الالعاب PDF,"['التنمية الذهنية', 'الثقافة العامة', 'كتب متنوعة']",https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%a7%d9%84%d8%b9%d8%a7%d8%a8-pdf/
1708,ديفيد نورمان,كتاب الديناصورات مقدمة قصيرة جدا PDF,['الأحياء'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%af%d9%8a%d9%86%d8%a7%d8%b5%d9%88%d8%b1%d8%a7%d8%aa-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1709,ليمان تاور سارجنت,كتاب اليوتوبية مقدمة قصيرة جدا PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%8a%d9%88%d8%aa%d9%88%d8%a8%d9%8a%d8%a9-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1710,جوناثان كولر,كتاب رولان بارت PDF,['أعلام وشخصيات'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b1%d9%88%d9%84%d8%a7%d9%86-%d8%a8%d8%a7%d8%b1%d8%aa-pdf/
1711,ستيفن لو,كتاب الانسانوية مقدمة قصيرة جدا PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%a7%d9%86%d8%b3%d8%a7%d9%86%d9%88%d9%8a%d8%a9-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1712,لويس وولبرت,كتاب علم الأحياء النمائي PDF,['الأحياء'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%b9%d9%84%d9%85-%d8%a7%d9%84%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%a7%d9%84%d9%86%d9%85%d8%a7%d8%a6%d9%8a-pdf/
1713,برايان تشارلزوورث,كتاب التطور مقدمة قصيرة جدا PDF,['الأحياء'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b7%d9%88%d8%b1-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1714,,كتاب الدادائية والسريالية PDF,['الفن'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%af%d8%a7%d8%af%d8%a7%d8%a6%d9%8a%d8%a9-%d9%88%d8%a7%d9%84%d8%b3%d8%b1%d9%8a%d8%a7%d9%84%d9%8a%d8%a9-pdf/
1715,هارفي سي مانسفيلد,كتاب توكفيل مقدمة قصيرة جدا PDF,['أعلام وشخصيات'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%aa%d9%88%d9%83%d9%81%d9%8a%d9%84-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1716,ستيفن إريك برونر,كتاب النظرية النقدية PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d9%86%d9%82%d8%af%d9%8a%d8%a9-pdf/
1717,يان فيسترهوف,كتاب الحقيقة مقدمة قصيرة جدا PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%ad%d9%82%d9%8a%d9%82%d8%a9-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1718,وليام باينوم,كتاب تاريخ الطب PDF,['كتب التاريخ'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae-%d8%a7%d9%84%d8%b7%d8%a8-pdf/
1719,أحمد مصطفى متولي,الإيقاظ في صحيح أذكار النوم والاستيقاظ PDF,['كتب اسلامية'],https://www.arab-books.com/books/%d8%a7%d9%84%d8%a5%d9%8a%d9%82%d8%a7%d8%b8-%d9%81%d9%8a-%d8%b5%d8%ad%d9%8a%d8%ad-%d8%a3%d8%b0%d9%83%d8%a7%d8%b1-%d8%a7%d9%84%d9%86%d9%88%d9%85-%d9%88%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%82%d8%a7/
1720,سو هاملتون,كتاب الفلسفة الهندية PDF,['كتب الفلسفة والمنطق'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%81%d9%84%d8%b3%d9%81%d8%a9-%d8%a7%d9%84%d9%87%d9%86%d8%af%d9%8a%d8%a9-pdf/
1721,داميان كيون,كتاب البوذية مقدمة قصيرة جدا PDF,['كتب متنوعة'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%a8%d9%88%d8%b0%d9%8a%d8%a9-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
1722,ديفيد أ روثري,كتاب الكواكب مقدمة قصيرة جدا PDF,['الفلك'],https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%83%d9%88%d8%a7%d9%83%d8%a8-%d9%85%d9%82%d8%af%d9%85%d8%a9-%d9%82%d8%b5%d9%8a%d8%b1%d8%a9-%d8%ac%d8%af%d8%a7-pdf/
